id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
746,"Surowka z kapusty pekinskiej, jablek, papryki z olejem",53,88.5,1.1,0,1.1,3.8,5.7,7,172,35,33,13,0.4,0.28,0.05,0.14
747,Surowka z kapusty pekinskiej z majonezem,94,83.3,1.6,0.3,1.3,8.1,6,29,169,44,43,17,0.4,0.34,0.05,0.16
748,Surowka wielowarzywna z jogurtem naturalnym,35,90,1.7,0.8,0.9,0.6,7,17,222,45,43,12,0.5,0.31,0.08,0.09
749,Brukselka z wody,110,75.6,4.2,0.1,4.1,7.1,12,22,348,49,33,18,0.8,0.76,0.06,0.4
750,Buraki,70,84.2,1.5,0,1.5,3.5,10,46,278,33,14,14,1.4,0.46,0.08,0.35
751,Buraki z jablkami,70,84.1,1.5,0,1.5,3.3,10.3,44,272,32,14,13,1.3,0.45,0.08,0.34
752,Buraki zasmazane,84,83.4,1.6,0,1.6,5.5,8.7,39,265,32,14,13,1.3,0.44,0.08,0.34
753,Buraki ze smietana,68,85,1.8,0.3,1.5,3.6,8.8,46,274,42,22,14,1.3,0.47,0.08,0.33
754,cwikla,40,87.2,1.6,0,1.6,0.1,10.2,42,311,36,19,15,1.4,0.52,0.09,0.37
755,Dynia z pomidorami,44,89.2,1.2,0,1.2,2.4,6.5,5,269,44,34,11,0.7,0.33,0.11,0.05
756,Fasolka szparagowa,97,79.1,2.9,0.1,2.8,6.9,10.3,21,288,71,52,25,1.2,0.7,0.11,0.26
757,Groszek zielony z maslem,100,79.7,3.7,0.1,3.6,6.8,9.3,2,192,13,67,16,1,0.76,0.16,0.34
758,Kalafior z wody,83,85,2,0.1,1.9,6.8,5.5,32,150,11,24,9,0.5,0.2,0.03,0.18
759,Kapusta biala zasmazana,69,85.8,1.6,0.1,1.5,4.7,7.2,16,180,52,28,10,0.3,0.26,0.03,0.18
760,Marchewka z groszkiem I,64,83.9,1.7,0,1.7,3.1,10.8,90,204,31,35,16,0.7,0.38,0.1,0.2
761,Marchewka z groszkiem II,82,82.7,1.9,0.5,1.4,5.5,9.4,87,206,44,42,15,0.6,0.37,0.09,0.18
762,Marchewka zasmazana,69,85.5,1,0.1,0.9,4.8,8.4,66,228,30,28,13,0.4,0.29,0.08,0.16
763,Salatka jarzynowa,192,68.8,2.9,0.2,2.7,16.5,10.9,78,252,27,69,27,1,0.61,0.09,0.28
764,Salatka z groszku zielonego,159,71.8,4,1.2,2.8,13.1,10.4,115,113,31,69,18,1.3,0.69,0.1,0.26
765,Salatka z czerwonej kapusty,83,84.4,1.4,0,1.4,6.5,7,8,211,33,23,9,0.4,0.33,0.07,0.19
766,Szpinak zasmazany,82,82.1,3.7,0.7,3,6.1,6.2,37,283,123,49,60,3.1,0.83,0.11,0.29
767,Salatka jarzynowa z majonezem i jogurtem naturalnym,116,76.7,3.2,0.5,2.7,7.5,11.6,118,269,41,75,29,0.9,0.62,0.09,0.28
768,Pieczarki smazone,232,67.8,3.4,0.1,3.3,24.3,3.3,9,352,16,200,15,1.1,0.58,0.48,0.07
769,Bliny ziemniaczane,257,53.3,5.6,3.3,2.3,16.3,23.6,100,371,59,114,25,1,0.76,0.09,0.2
770,Budyn z miesa i makaronu,171,61.2,10.6,7.7,2.9,4.4,23.1,60,223,44,129,17,1.4,1.08,0.13,0.18
771,Kasza gryczana na sypko z maslem roslinnym,132,67.5,4.5,0,4.5,2.3,25,4,160,9,165,78,1,1.26,0.15,0.73
772,Kasza gryczana na sypko         ze smalcem,139,66.5,4.8,0.3,4.5,3,25,7,164,9,166,79,1,1.27,0.15,0.73
773,Kasza perlowa na sypko z maslem roslinnym,114,71.9,2.2,0,2.2,2,23.6,3,83,6,65,14,0.5,0.29,0.06,0.24
774,Kasza perlowa na sypko               ze smalcem,119,71.4,2.2,0,2.2,2.5,23.6,1,83,6,65,14,0.5,0.29,0.06,0.24
775,Kluski kladzione,165,59.6,5.1,1,4.1,1.3,33.8,12,60,12,46,5,0.7,0.39,0.04,0.12
776,Kluski lane,93,78.8,4.1,2.3,1.8,2,14.9,26,46,12,50,4,0.6,0.43,0.03,0.06
777,Knedle ze sliwkami,162,65,2.7,0.5,2.2,5.9,25.8,13,256,12,46,14,0.6,0.31,0.09,0.14
778,Kopytka,147,62.3,4,0.5,3.5,0.7,32.3,11,342,10,64,19,0.7,0.44,0.09,0.19
779,Kopytka z maslem,151,62.4,3.6,0.2,3.4,1.5,31.8,7,328,9,58,18,0.6,0.38,0.09,0.19
780,Kulebiak,222,59.1,7.6,5.3,2.3,12.7,20.1,28,134,24,84,11,0.8,1.12,0.04,0.1
781,Leniwe pierogi z sera i ziemniakow,220,56.3,12.8,10.9,1.9,10.1,20.1,39,154,58,157,12,0.5,0.8,0.05,0.1
782,Leniwe pierogi z sera,242,55.8,14.5,13.5,1,13.9,15.1,62,101,68,180,9,0.5,0.93,0.04,0.06
783,Makaron z maslem,126,70,3.6,0.4,3.2,1.8,24.4,5,55,8,40,9,0.4,0.31,0.05,0.16
784,Makaron,107,73.6,3.3,0.4,2.9,0.7,22.3,5,50,7,37,8,0.4,0.28,0.04,0.15
785,Makaron z serem,140,70.7,6.3,4.2,2.1,5.2,17.5,12,51,25,67,4,0.3,0.37,0.03,0.06
786,Nalesniki z kapusta,147,71.6,3.2,0.8,2.4,9.2,15.2,24,207,67,49,13,0.5,0.41,0.04,0.21
787,Nalesniki z serem,242,51.6,10.1,8.7,1.4,10.3,27.4,39,94,60,129,8,0.5,0.71,0.04,0.06
788,Pierogi ruskie,167,63.2,5.6,2.7,2.9,5,25.7,11,218,19,72,13,0.5,0.42,0.06,0.13
789,Pierogi z miesem I,146,68,7.1,4.6,2.5,4.1,20.5,33,104,8,62,8,0.8,0.76,0.04,0.08
790,Pierogi z miesem II,219,58.6,12,9.9,2.1,11.6,17.3,37,185,11,109,13,1.4,1.4,0.05,0.07
791,Pierogi z serem I,237,50.2,11.2,8.5,2.7,8.4,29.7,29,86,48,127,8,0.5,0.66,0.04,0.09
792,Pierogi z serem II,238,51.9,10.9,8.8,2.1,9.9,26.8,23,79,50,137,7,0.6,0.71,0.04,0.07
793,Pierogi z truskawkami,240,52,3.8,0.4,3.4,11.4,32.3,31,99,19,43,9,0.8,0.32,0.08,0.22
794,Risotto z miesem,229,56.1,7.4,5.2,2.2,11.8,24.2,25,145,7,94,12,0.6,1.09,0.07,0.32
795,Ryz na sypko z maslem roslinnym,135,67.4,2.4,0,2.4,1.5,28.4,4,40,4,49,5,0.3,0.62,0.06,0.36
796,Ryz na sypko ze smalcem,124,70.8,2.1,0,2.1,2,24.9,2,35,3,43,4,0.3,0.55,0.05,0.32
797,Ryz z jablkami,153,63.2,2,0.5,1.5,2.1,32.3,13,93,21,43,6,0.3,0.46,0.05,0.24
798,Ziemniaki puree,90,77.2,2.1,0.2,1.9,1.4,18.4,10,446,12,61,23,0.5,0.35,0.1,0.18
799,Ziemniaki z tluszczem,105,75.3,2,0,2,3.1,18.7,12,454,4,58,24,0.5,0.34,0.1,0.19
800,Pyzy,210,50.9,3.7,0.2,3.5,6.2,37.4,14,897,8,113,42,1.1,0.65,0.26,0.33
801,Pyzy z miesem,292,40.4,7.8,3.8,4,14,36.2,37,714,11,132,40,1.2,1.34,0.17,0.34
802,Placki ziemniaczane,231,57.2,3.6,1.1,2.5,14.5,23.6,20,503,21,84,28,0.8,0.54,0.13,0.23
803,Makaron zapiekany z kapusta slodka,138,69.2,3.6,0.3,3.3,5.2,21.3,16,187,49,48,15,0.5,0.42,0.06,0.27
804,Kluski slaskie,169,60.6,2.6,0.4,2.2,3.8,32.1,16,377,12,66,22,0.6,0.38,0.09,0.2
805,Kotlety ziemniaczane,241,52.5,4.3,1,3.3,12.8,29.3,37,506,13,91,29,0.9,0.65,0.14,0.28
806,lazanki z kapusta,147,70.1,3.5,0.8,2.7,7,18.9,17,131,33,45,10,0.6,0.43,0.04,0.18
807,Ciasto nalesnikowe biszkoptowe,186,59.7,8.2,5.5,2.7,5.9,25.5,65,145,74,129,15,1.1,0.96,0.06,0.13
808,Ciasto nalesnikowe bez piany,174,60.9,5.9,2.5,3.4,4.3,28.4,31,111,52,84,12,0.7,0.63,0.06,0.15
809,Jaja sadzone,168,74.5,9.9,9.9,0,14.2,0.6,111,105,38,161,9,1.7,1.38,0.05,0.02
810,Jajecznica,119,80.2,9.8,9.8,0,8.7,0.5,111,104,37,160,9,1.7,1.38,0.05,0.02
811,Kotlety z jaj,275,57.8,7.9,6.7,1.2,22.7,10.8,143,112,49,129,12,1.3,1.05,0.05,0.1
812,Omlet biszkoptowy                         ze szpinakiem,137,73.4,5.8,2.7,3.1,9.7,9.4,53,247,98,76,50,3,1.02,0.11,0.25
813,Jaja gotowane,109,81.3,9.8,9.8,0,7.6,0.5,110,104,37,160,9,1.7,1.38,0.05,0.02
814,Buchty drozdzowe,303,36.8,6.2,2.2,4,11,45.6,32,101,44,91,9,1,0.61,0.05,0.14
815,Gruszki w sosie waniliowym,152,62.1,1.6,1.2,0.4,1.1,34.8,15,112,36,39,8,0.3,0.25,0.05,0.05
816,Jablko pieczone,93,77.1,0.3,0,0.3,1.6,20.8,2,105,3,7,2,0.2,0.13,0.03,0.06
817,Jablka w kruchym ciescie,347,32.9,4.1,0.9,3.2,17.4,45.3,36,109,13,41,6,0.7,0.39,0.05,0.12
818,Kisiel porzeczkowy,98,73.7,0.3,0,0.3,0.1,25.7,1,77,12,15,5,0.3,0.08,0.03,0.19
819,Kisiel waniliowy,121,75,3.3,3.3,0,4.5,16.6,38,118,103,92,10,0.4,0.39,0.02,0.03
820,Kompot z jablek,51,86.4,0.2,0,0.2,0.1,13.2,1,52,3,4,1,0.1,0.06,0.02,0.06
821,Kompot z wisni,69,82.7,0.2,0,0.2,0.1,16.9,1,38,3,5,2,0.1,0.03,0.04,0.01
822,Lody waniliowe,139,67.2,2.7,2.7,0,1.6,28.1,35,72,53,52,6,0.2,0.28,0.02,0.01
823,Mus jablkowy,127,68.3,2.2,2,0.2,0.5,28.7,38,84,3,7,3,0.2,0.13,0.03,0.04
824,Napoj mleczny z truskawkami,109,72.7,1.2,0.9,0.3,0.7,24.9,11,87,39,30,7,0.3,0.12,0.05,0.09
825,Rolada biszkoptowa z dzemem,304,30.3,6.9,5.7,1.2,5.4,56.8,72,98,29,100,8,1.3,0.69,0.06,0.07
826,Truskawki w galaretce,127,67.8,15.4,15.2,0.2,0.2,16,6,50,11,9,5,0.2,0.03,0.04,0.08
827,Truskawki z bita smietana,127,79.5,1.1,0.7,0.4,10.4,8.4,11,104,43,34,8,0.4,0.13,0.06,0.12
828,Befsztyk tatarski,195,64.4,18.4,17.5,0.9,12.3,3.4,197,340,40,266,36,3.1,3.47,0.11,0.11
829,Pasta z jaj,197,72.3,7.2,6.7,0.5,18.6,1.2,78,132,44,118,13,1.6,1.04,0.08,0.08
830,Pasta z jaj i ryby wedzonej,262,61.1,13.3,12.9,0.4,23.1,1.2,577,191,24,170,19,1.3,0.71,0.11,0.08
831,Pasta z twarogu i ryby wedzonej,273,58.9,15.2,15.2,0,23,1.9,344,131,48,181,13,0.4,0.61,0.07,0.02
