id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
595,Sok grejpfrutowy,40,90,0.5,0,0.5,0.1,9.2,1,102,11,9,8,0.1,0.1,0.04,0.01
596,Sok jablkowy,42,89.6,0.1,0,0.1,0.1,10,2,110,9,6,5,0.2,0.12,0.02,0.02
597,Sok marchwiowy,43,88.1,0.4,0,0.4,0.1,11.3,29,99,13,11,6,0.2,0.12,0.04,0.07
598,Sok marchwiowo-brzoskwiniowy,43,87.9,0.5,0,0.5,0.1,11.3,21,111,11,13,6,0.2,0.11,0.04,0.07
599,Sok marchwiowo-jablkowy,46,86.6,0.5,0,0.5,0.3,12.3,30,163,15,16,7,0.3,0.2,0.05,0.11
600,Sok marchwiowo-jablkowo-pomaranczowy,44,87.1,0.6,0,0.6,0.2,11.8,26,153,18,16,8,0.3,0.17,0.05,0.08
601,Sok marchwiowo-pomaranczowy,40,88.2,0.6,0,0.6,0.1,10.8,26,149,22,18,9,0.3,0.16,0.06,0.07
602,"Sok z marchwi, jablek i owocow tropikalnych",52,84.6,0.7,0,0.7,0.3,14,27,208,17,19,11,0.4,0.21,0.07,0.14
603,Sok pomaranczowy,43,89,0.6,0,0.6,0.1,9.9,2,175,8,14,11,0.4,0.04,0.02,0.03
604,Sok pomidorowy,13,95.5,0.8,0,0.8,0.1,2.6,126,206,8,13,7,0.3,0.22,0.05,0.05
605,Sok wielowarzywny,25,91.8,1,0,1,0.3,5.7,312,190,16,20,12,0.5,0.23,0.04,0.1
606,"Coca Cola, Pepsi Cola",42,89.4,0,0,0,0,10.4,14,2,8,15,2,0,0.01,0,0.01
607,Napoje gazowane o smaku owocowym,42,89.7,0,0,0,0,10.3,8,27,7,2,7,0,0,0,0
608,Lemoniada,24,94.2,0,0,0,0,5.8,7,15,5,0,1,0,0,0,0
609,Piwo pelne 10-15%,49,91,0.5,0,0.5,0,3.8,3,26,6,26,9,0.1,0,0,0.03
610,Szampan,76,88.4,0.3,0,0.3,0,1.4,4,57,3,7,6,0.5,0,0.01,0
611,Wermut slodki,155,71.1,0,0,0,0,15.9,28,30,6,6,4,0.4,0,0.04,0
612,Wino biale polwytrawne,81,86.6,0,0,0,0,3.7,3,70,10,7,4,1.8,0.03,0.02,0.06
613,Wino biale slodkie,95,83.5,0.2,0,0.2,0,5.9,13,110,14,13,11,0.6,0,0.05,0.1
614,Wino biale wytrawne,66,90.2,0.1,0,0.1,0,0.6,4,61,9,6,8,0.5,0,0.01,0.1
615,Wino czerwone,68,89.9,0.1,0,0.1,0,0.2,7,110,7,13,11,0.9,0.1,0.06,0.1
616,Wodki,220,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,"Drozdze piekarskie, prasowane",92,70.6,11.3,11.3,0,2,14.5,41,592,30,272,61,5,2.79,0.09,1.01
618,Chipsy bekonowe,537,0.9,5.9,0,5.9,38,52.2,746,828,31,118,45,1.7,0.73,0.23,0.23
619,Chipsy paprykowe,549,0.7,6,0,6,40,50.4,859,893,34,114,48,1.6,0.65,0.23,0.27
620,Chipsy solone,552,1.2,5.6,0,5.6,40.7,49.9,690,801,18,89,43,1.7,0.76,0.29,0.24
621,Przyprawa Jarzynka,90,19,1.9,0,1.9,0.4,23.3,23982,354,74,59,180,1.5,0.52,0.23,0.41
622,Majonez domowy z olejem rzepakowym,714,15.9,1.3,1,0.3,79,2.6,396,15,14,44,9,0.5,0.25,0.05,0.02
623,Majonez domowy z olejem slonecznikowym,714,15.9,1.3,1,0.3,79,2.6,396,15,14,44,9,0.6,0.25,0.03,0.02
624,Musztarda,162,62.9,5.7,0,5.7,6.4,22,760,165,95,170,117,1.8,0.7,0.09,0.36
625,Sol biala,0,0.5,0,0,0,0,0,38850,0,29,8,290,0.2,0.08,0.16,0.14
626,zelatyna,343,14,84.2,84.2,0,0.1,0,32,22,11,0,11,0,0,0,0
627,Barszcz czerwony zabielany,32,92.5,2,1.6,0.4,1.4,3.3,39,86,16,19,5,0.5,0.23,0.03,0.09
628,Barszcz ukrainski I,36,89.6,1.9,0.8,1.1,0.6,6.9,60,206,26,25,12,0.8,0.29,0.06,0.17
629,Barszcz ukrainski II,53,87.9,2.1,0.8,1.3,2.7,6.5,29,175,23,35,13,0.6,0.33,0.05,0.15
630,Barszcz z bocwina,29,93.8,1.5,1.1,0.4,1.7,2.5,25,74,17,18,5,0.4,0.21,0.02,0.05
631,Kapusniak z kapusty kwaszonej,22,94.9,1.4,1.1,0.3,1.2,1.6,59,48,8,9,2,0.2,0.11,0.01,0.03
632,Kapusniak ze slodkiej kapusty,31,93.7,0.7,0.2,0.5,2.1,3.2,11,87,20,15,5,0.2,0.13,0.02,0.06
633,Krem z zielonego groszku,64,86.5,3.1,1.2,1.9,3.8,5.9,21,115,19,52,9,0.7,0.48,0.09,0.18
634,Krupnik z kaszy gryczanej,43,89.2,1.7,0.6,1.1,1.2,7.2,24,150,9,37,16,0.4,0.28,0.05,0.15
635,Krupnik z kaszy jeczmiennej I,40,89.5,1.5,0.6,0.9,0.9,7.4,23,143,9,27,9,0.3,0.18,0.04,0.1
636,Krupnik z kaszy jeczmiennej II,44,89.3,1.3,0.6,0.7,1.2,7.6,15,114,3,24,8,0.3,0.14,0.03,0.08
637,Krupnik z ryzu,43,89.1,1.5,0.6,0.9,1.1,7.6,24,137,8,24,8,0.3,0.21,0.04,0.11
638,Zupa cebulowa,44,91.4,1.4,0.8,0.6,2.7,4,35,41,12,14,4,0.2,0.12,0.02,0.06
639,Zupa cytrynowa z ryzem,58,87.2,1.4,0.6,0.8,2.2,8.7,24,49,7,19,4,0.2,0.21,0.03,0.11
640,Zupa fasolowa,63,83.3,4,0.6,3.4,1.8,10,17,193,27,70,27,1.1,0.61,0.08,0.31
641,Zupa grochowa,66,83.5,4.4,0.9,3.5,2.4,8.9,21,148,9,61,19,0.8,0.67,0.07,0.3
642,Zupa grzybowa zabielana,26,95,1.3,1,0.3,1.8,1.3,23,43,9,20,3,0.2,0.09,0.03,0.02
643,Zupa jarzynowa,28,92.4,1.4,0.6,0.8,1.1,4.3,79,133,18,20,9,0.5,0.19,0.05,0.1
644,Zupa jarzynowa ze smietana,43,89.5,1.7,0.8,0.9,1.8,6.2,28,177,17,28,10,0.4,0.21,0.04,0.1
